Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
052460,KR7052460003,아이크래프트,KOSDAQ,벤처기업부,4890,1,340,7.47,4550,4975,4550,341769,1641415849,71432807040,14607936,KSQ
439580,KR7439580002,블루엠텍,KOSDAQ,기술성장기업부,2110,1,114,5.71,1996,2190,1971,211472,442633208,71416214170,33846547,KSQ
299660,KR7299660001,셀리드,KOSDAQ,기술성장기업부,2415,1,10,0.42,2430,2475,2320,787841,1893353392,71249689455,29502977,KSQ
214260,KR7214260002,라파스,KOSDAQ,기술성장기업부,7980,1,10,0.13,8060,8060,7700,10428,81579585,71201254740,8922463,KSQ
332370,KR7332370006,아이디피,KOSDAQ,벤처기업부,5360,2,-140,-2.55,5500,5510,5360,1478,8123095,71147171360,13273726,KSQ
302430,KR7302430004,이노메트리,KOSDAQ,벤처기업부,7230,1,20,0.28,7270,7800,7200,211135,1572777985,71094093840,9833208,KSQ
041910,KR7041910001,폴라리스AI파마,KOSDAQ,우량기업부,5350,1,20,0.38,5300,5380,5270,18687,99544565,71065922500,13283350,KSQ
067570,KR7067570002,엔브이에이치코리아,KOSDAQ,중견기업부,1683,2,-2,-0.12,1685,1701,1675,115339,194545648,70972110000,42170000,KSQ
277880,KR7277880001,티에스아이,KOSDAQ,우량기업부,3575,3,0,0.0,3680,3750,3575,47513,171953997,70939482900,19843212,KSQ
067170,KR7067170001,오텍,KOSDAQ,중견기업부,2580,2,-75,-2.82,2680,2745,2580,211341,560655952,70848980100,27460845,KSQ
054620,KR7054620000,APS,KOSDAQ,중견기업부,3850,1,145,3.91,3800,3900,3675,31111,118588490,70817750850,18394221,KSQ
024830,KR7024830002,세원물산,KOSDAQ,중견기업부,8480,2,-190,-2.19,8600,8620,8410,441,3752610,70808000000,8350000,KSQ
084730,KR7084730001,팅크웨어,KOSDAQ,중견기업부,6360,1,70,1.11,6260,6360,6160,85459,534440330,70655936640,11109424,KSQ
048430,KR7048430003,유라테크,KOSDAQ,우량기업부,6130,2,-200,-3.16,6470,6470,6080,81255,508715400,70617600000,11520000,KSQ
006140,KR7006140008,피제이전자,KOSDAQ,우량기업부,4750,1,100,2.15,4650,4755,4600,35308,165789944,70608750000,14865000,KSQ
0218L0,KR70218L0007,네오뷰,KOSDAQ,중견기업부,13350,1,350,2.69,12910,13450,12830,13903,183186210,70436936250,5276175,KSQ
153710,KR7153710009,옵티팜,KOSDAQ,기술성장기업부,4795,2,-20,-0.42,4830,4830,4770,3001,14419940,70342448610,14669958,KSQ
234030,KR7234030005,싸이닉솔루션,KOSDAQ,중견기업부,2970,1,20,0.68,2905,3025,2905,34799,102759285,70106850000,23605000,KSQ
377480,KR7377480009,마음AI,KOSDAQ,기술성장기업부,9850,1,290,3.03,9560,9890,9560,23465,229569660,70036208750,7110275,KSQ
002800,KR7002800001,신신제약,KOSDAQ,우량기업부,4610,1,50,1.1,4605,4700,4515,47886,220459625,69936005000,15170500,KSQ
217330,KR7217330000,싸이토젠,KOSDAQ,기술성장기업부,3015,3,0,0.0,3005,3045,2965,55162,165729269,69735584205,23129547,KSQ
